code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
00CC0ZZ,"Extirpation of Matter from Cerebellum, Open Approach",0.49999999875,0.999999995,0.6666666600000001,2,2,0,2,10.0
00CU0ZZ,"Extirpation of Matter from Spinal Canal, Open Approach",0.249999999375,0.4999999975,0.33333332777777785,1,3,1,2,11.0
00H00MZ,"Insertion of Neurostimulator Lead into Brain, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
00H032Z,"Insertion of Monitoring Device into Brain, Percutaneous Approach",0.999999995,0.6666666644444444,0.799999992,2,0,1,3,14.0
00H03MZ,"Insertion of Neurostimulator Lead into Brain, Percutaneous Approach",0.9999999980000001,0.7142857132653061,0.8333333270833335,5,0,2,7,33.0
00H633Z,"Insertion of Infusion Device into Cerebral Ventricle, Percutaneous Approach",0.49999999875,0.999999995,0.6666666600000001,2,2,0,2,8.0
00HU03Z,"Insertion of Infusion Device into Spinal Canal, Open Approach",0.0,0.0,0.0,0,2,9,9,43.0
00HU33Z,"Insertion of Infusion Device into Spinal Canal, Percutaneous Approach",0.4374999997265625,0.12280701752231456,0.19178081844248454,7,9,50,57,278.0
00JU3ZZ,"Inspection of Spinal Canal, Percutaneous Approach",0.0,0.0,0.0,0,0,33,33,121.0
00N00ZZ,"Release Brain, Open Approach",0.6666666655555555,0.3999999996,0.4999999946875,4,2,6,10,47.0
00NC0ZZ,"Release Cerebellum, Open Approach",0.3333333329629629,0.9999999966666667,0.4999999954166666,3,6,0,3,15.0
00NK0ZZ,"Release Trigeminal Nerve, Open Approach",0.999999995,0.999999995,0.9999999900000001,2,0,0,2,10.0
00NW0ZZ,"Release Cervical Spinal Cord, Open Approach",0.1111111109876543,0.045454545433884296,0.06451612486992742,1,8,21,22,108.0
00NX0ZZ,"Release Thoracic Spinal Cord, Open Approach",0.49999999964285713,0.46666666635555554,0.4827586153626635,7,7,8,15,60.0
00NY0ZZ,"Release Lumbar Spinal Cord, Open Approach",0.0,0.0,0.0,0,4,17,17,85.0
00P60JZ,"Removal of Synthetic Substitute from Cerebral Ventricle, Open Approach",0.0,0.0,0.0,0,1,1,1,8.0
00P630Z,"Removal of Drainage Device from Cerebral Ventricle, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,9.0
00P63JZ,"Removal of Synthetic Substitute from Cerebral Ventricle, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,12.0
00P6X0Z,"Removal of Drainage Device from Cerebral Ventricle, External Approach",0.0,0.0,0.0,0,0,3,3,13.0
00PU0MZ,"Removal of Neurostimulator Lead from Spinal Canal, Open Approach",0.4999999975,0.9999999900000002,0.6666666577777778,1,1,0,1,8.0
00PV0MZ,"Removal of Neurostimulator Lead from Spinal Cord, Open Approach",0.4999999975,0.9999999900000002,0.6666666577777778,1,1,0,1,8.0
00Q20ZZ,"Repair Dura Mater, Open Approach",0.0,0.0,0.0,0,0,6,6,16.0
00QT0ZZ,"Repair Spinal Meninges, Open Approach",0.16666666657407406,0.2727272724793388,0.20689654687277062,3,15,8,11,52.0
00U207Z,"Supplement Dura Mater with Autologous Tissue Substitute, Open Approach",0.49999999937499995,0.3333333330555555,0.39999999480000004,4,4,8,12,61.0
00U20JZ,"Supplement Dura Mater with Synthetic Substitute, Open Approach",0.0,0.0,0.0,0,0,8,8,40.0
00U20KZ,"Supplement Dura Mater with Nonautologous Tissue Substitute, Open Approach",0.33333333277777777,0.07692307689349112,0.12499999687500009,2,4,24,26,125.0
00UT07Z,"Supplement Spinal Meninges with Autologous Tissue Substitute, Open Approach",0.0,0.0,0.0,0,1,2,2,9.0
00UT0JZ,"Supplement Spinal Meninges with Synthetic Substitute, Open Approach",0.24999999979166665,0.37499999953124996,0.2999999949,3,9,5,8,39.0
00UT0KZ,"Supplement Spinal Meninges with Nonautologous Tissue Substitute, Open Approach",0.4999999975,0.1999999996,0.28571428081632655,1,1,4,5,25.0
01N10ZZ,"Release Cervical Nerve, Open Approach",0.0,0.0,0.0,0,1,11,11,55.0
01N30ZZ,"Release Brachial Plexus, Open Approach",0.49999999875,0.6666666644444444,0.5714285648979592,2,2,1,3,7.0
01N40ZZ,"Release Ulnar Nerve, Open Approach",0.0,0.0,0.0,0,0,4,4,21.0
01N50ZZ,"Release Median Nerve, Open Approach",0.3999999992,0.16666666652777776,0.23529411321799312,2,3,10,12,53.0
