icd_code,icd_version,long_title
01126,9,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01130,9,"Tuberculosis of bronchus, unspecified"
01131,9,"Tuberculosis of bronchus, bacteriological or histological examination not done"
01132,9,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
01133,9,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
01134,9,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
01135,9,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01136,9,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01140,9,"Tuberculous fibrosis of lung, unspecified"
01141,9,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01142,9,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
01143,9,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01144,9,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01145,9,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01146,9,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01150,9,"Tuberculous bronchiectasis, unspecified"
01151,9,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
01152,9,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01153,9,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
01154,9,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01155,9,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01156,9,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01160,9,"Tuberculous pneumonia [any form], unspecified"
01161,9,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
01162,9,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
01163,9,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
01164,9,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01165,9,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01166,9,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01170,9,"Tuberculous pneumothorax, unspecified"
01171,9,"Tuberculous pneumothorax, bacteriological or histological examination not done"
01172,9,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
01173,9,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
01174,9,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01175,9,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01176,9,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01180,9,"Other specified pulmonary tuberculosis, unspecified"
01181,9,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
01182,9,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
01183,9,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01184,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01185,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01186,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01190,9,"Pulmonary tuberculosis, unspecified, unspecified"
01191,9,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
01192,9,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
01193,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01194,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01195,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01196,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01200,9,"Tuberculous pleurisy, unspecified"
01201,9,"Tuberculous pleurisy, bacteriological or histological examination not done"
01202,9,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
01203,9,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
01204,9,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01205,9,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01206,9,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01210,9,"Tuberculosis of intrathoracic lymph nodes, unspecified"
01211,9,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
01212,9,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
01213,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
01214,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01215,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01216,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01220,9,"Isolated tracheal or bronchial tuberculosis, unspecified"
01221,9,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
01222,9,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
01223,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01224,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01225,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01226,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01230,9,"Tuberculous laryngitis, unspecified"
01231,9,"Tuberculous laryngitis, bacteriological or histological examination not done"
01232,9,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
01233,9,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
01234,9,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01235,9,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01236,9,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01280,9,"Other specified respiratory tuberculosis, unspecified"
01281,9,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
01282,9,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
01283,9,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01284,9,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01285,9,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01286,9,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01300,9,"Tuberculous meningitis, unspecified"
01301,9,"Tuberculous meningitis, bacteriological or histological examination not done"
01302,9,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
01303,9,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
01304,9,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01305,9,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01306,9,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01310,9,"Tuberculoma of meninges, unspecified"
01311,9,"Tuberculoma of meninges, bacteriological or histological examination not done"
01312,9,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
01313,9,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy"
01314,9,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01315,9,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01316,9,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01320,9,"Tuberculoma of brain, unspecified"
01321,9,"Tuberculoma of brain, bacteriological or histological examination not done"
01322,9,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
01323,9,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy"
01324,9,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01325,9,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01326,9,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01330,9,"Tuberculous abscess of brain, unspecified"
01331,9,"Tuberculous abscess of brain, bacteriological or histological examination not done"
01332,9,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)"
01333,9,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy"
01334,9,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01335,9,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01336,9,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01340,9,"Tuberculoma of spinal cord, unspecified"
01341,9,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
01342,9,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)"
01343,9,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
01344,9,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01345,9,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01346,9,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01350,9,"Tuberculous abscess of spinal cord, unspecified"
01351,9,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done"
01352,9,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)"
01353,9,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy"
01354,9,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01355,9,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01356,9,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01360,9,"Tuberculous encephalitis or myelitis, unspecified"
01361,9,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done"
01362,9,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)"
01363,9,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy"
01364,9,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01365,9,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01366,9,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01380,9,"Other specified tuberculosis of central nervous system, unspecified"
01381,9,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done"
01382,9,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01383,9,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
01384,9,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01385,9,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01386,9,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01390,9,"Unspecified tuberculosis of central nervous system, unspecified"
01391,9,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done"
01392,9,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01393,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
01394,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01395,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01396,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01400,9,"Tuberculous peritonitis, unspecified"
01401,9,"Tuberculous peritonitis, bacteriological or histological examination not done"
01402,9,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
01403,9,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy"
01404,9,"Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01405,9,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01406,9,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01480,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified"
01481,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
01482,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)"
01483,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy"
01484,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01485,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01486,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01500,9,"Tuberculosis of vertebral column, unspecified"
01501,9,"Tuberculosis of vertebral column, bacteriological or histological examination not done"
01502,9,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)"
01503,9,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy"
01504,9,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01505,9,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01506,9,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01510,9,"Tuberculosis of hip, unspecified"
01511,9,"Tuberculosis of hip, bacteriological or histological examination not done"
01512,9,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)"
01513,9,"Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy"
01514,9,"Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01515,9,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01516,9,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01520,9,"Tuberculosis of knee, unspecified"
01521,9,"Tuberculosis of knee, bacteriological or histological examination not done"
01522,9,"Tuberculosis of knee, bacteriological or histological examination unknown (at present)"
01523,9,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy"
01524,9,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01525,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01526,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01550,9,"Tuberculosis of limb bones, unspecified"
01551,9,"Tuberculosis of limb bones, bacteriological or histological examination not done"
01552,9,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)"
01553,9,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy"
01554,9,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01555,9,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01556,9,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01560,9,"Tuberculosis of mastoid, unspecified"
01561,9,"Tuberculosis of mastoid, bacteriological or histological examination not done"
01562,9,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)"
01563,9,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy"
01564,9,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01565,9,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01566,9,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01570,9,"Tuberculosis of other specified bone, unspecified"
01571,9,"Tuberculosis of other specified bone, bacteriological or histological examination not done"
01572,9,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)"
01573,9,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy"
01574,9,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01575,9,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01576,9,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01580,9,"Tuberculosis of other specified joint, unspecified"
01581,9,"Tuberculosis of other specified joint, bacteriological or histological examination not done"
01582,9,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)"
01583,9,"Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy"
01584,9,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01585,9,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01586,9,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01590,9,"Tuberculosis of unspecified bones and joints, unspecified"
01591,9,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done"
01592,9,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)"
01593,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy"
01594,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01595,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01596,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01600,9,"Tuberculosis of kidney, unspecified"
